logic,rule_category,rule,problem,query,answer
propositional,equivalent,distributive laws,inference,"Consider the following premises: James is a cashier, or Karen is a bartender and it is raining. Can we infer the following from them? Answer yes or no: both James is a cashier or Karen is a bartender and James is a cashier or it is raining are true.",yes
propositional,equivalent,distributive laws,inference,"Consider the following premises: James is fast, and either Michael is sad or Susan is drinking water. Can we infer the following from them? Answer yes or no: either James is fast and Michael is sad, or James is fast and Susan is drinking water.",yes
propositional,equivalent,distributive laws,inference,"Consider the following premises: It is cloudy, or William is climbing a mountain and James is working. Can we infer the following from them? Answer yes or no: both It is cloudy or William is climbing a mountain and It is cloudy or James is working are true.",yes
propositional,equivalent,distributive laws,inference,"Consider the following premises: Joseph is listening to a song, and either Robert is making tea or it is overcast. Can we infer the following from them? Answer yes or no: either Joseph is listening to a song and Robert is making tea, or Joseph is listening to a song and it is overcast.",yes
propositional,equivalent,distributive laws,inference,"Consider the following premises: Joseph is a janitor, and either it is cold or it is overcast. Can we infer the following from them? Answer yes or no: either Joseph is a janitor and it is cold, or Joseph is a janitor and it is overcast.",yes
propositional,equivalent,distributive laws,inference,"Consider the following premises: It is sunny, and either Sarah is rich or Karen is listening to a song. Can we infer the following from them? Answer yes or no: either It is sunny and Sarah is rich, or It is sunny and Karen is listening to a song.",yes
propositional,equivalent,distributive laws,inference,"Consider the following premises: It is overcast, or Michael is a politician and Elisabeth is a scientist. Can we infer the following from them? Answer yes or no: both It is overcast or Michael is a politician and It is overcast or Elisabeth is a scientist are true.",yes
propositional,equivalent,distributive laws,inference,"Consider the following premises: It is cold, and either David is a carpenter or it is overcast. Can we infer the following from them? Answer yes or no: either It is cold and David is a carpenter, or It is cold and it is overcast.",yes
propositional,equivalent,distributive laws,inference,"Consider the following premises: Robert is sleeping, and either Mary is a musician or John is excited. Can we infer the following from them? Answer yes or no: either Robert is sleeping and Mary is a musician, or Robert is sleeping and John is excited.",yes
propositional,equivalent,distributive laws,inference,"Consider the following premises: Jessica is working, and either Joseph is a cashier or Patricia is rich. Can we infer the following from them? Answer yes or no: either Jessica is working and Joseph is a cashier, or Jessica is working and Patricia is rich.",yes
propositional,equivalent,distributive laws,inference,"Consider the following premises: It is windy, or it is raining and it is sunny. Can we infer the following from them? Answer yes or no: both It is windy or it is raining and It is windy or it is sunny are true.",yes
propositional,equivalent,distributive laws,inference,"Consider the following premises: Joseph is a janitor, or Sarah is climbing a mountain and John is playing tennis. Can we infer the following from them? Answer yes or no: both Joseph is a janitor or Sarah is climbing a mountain and Joseph is a janitor or John is playing tennis are true.",yes
propositional,equivalent,distributive laws,inference,"Consider the following premises: Jessica is a sailor, or it is snowing and it is late. Can we infer the following from them? Answer yes or no: both Jessica is a sailor or it is snowing and Jessica is a sailor or it is late are true.",yes
propositional,equivalent,distributive laws,inference,"Consider the following premises: Thomas is climbing a mountain, and either Linda is an astronaut or Karen is a cashier. Can we infer the following from them? Answer yes or no: either Thomas is climbing a mountain and Linda is an astronaut, or Thomas is climbing a mountain and Karen is a cashier.",yes
propositional,equivalent,distributive laws,inference,"Consider the following premises: Thomas is a scientist, and either Patricia is making tea or Patricia is driving a car. Can we infer the following from them? Answer yes or no: either Thomas is a scientist and Patricia is making tea, or Thomas is a scientist and Patricia is driving a car.",yes
propositional,equivalent,distributive laws,inference,"Consider the following premises: Sarah is playing tennis, or Richard is climbing a mountain and Thomas is driving a car. Can we infer the following from them? Answer yes or no: both Sarah is playing tennis or Richard is climbing a mountain and Sarah is playing tennis or Thomas is driving a car are true.",yes
propositional,equivalent,distributive laws,inference,"Consider the following premises: Joseph is taking a plane, or Jessica is drinking water and William is a musician. Can we infer the following from them? Answer yes or no: both Joseph is taking a plane or Jessica is drinking water and Joseph is taking a plane or William is a musician are true.",yes
propositional,equivalent,distributive laws,inference,"Consider the following premises: Richard is reading a book, and either James is climbing a mountain or Barbara is rich. Can we infer the following from them? Answer yes or no: either Richard is reading a book and James is climbing a mountain, or Richard is reading a book and Barbara is rich.",yes
propositional,equivalent,distributive laws,inference,"Consider the following premises: Susan is listening to a song, or it is cold and it is sunny. Can we infer the following from them? Answer yes or no: both Susan is listening to a song or it is cold and Susan is listening to a song or it is sunny are true.",yes
