question,target
"Consider the following premises: If William were curious, then it is cloudy. If it is cloudy, then William is curious. If William were curious, then it is cloudy. If it is cloudy, then William is curious. Can we infer the following from them? Answer yes or no: William is curious if and only if it is cloudy.",yes
"Consider the following premises: The claim that Karen is running and the claim that Jennifer is taking a plane cannot both be true. If it is cloudy, then Jennifer is not taking a plane. If it is cloudy, then Linda is an office clerk. Linda is an office clerk or Karen is running. If Linda were an office clerk, then it is cloudy. If Jennifer doesn't take a plane, then it is cloudy. Can we infer the following from them? Answer yes or no: It is cold.",no
"Consider the following premises: If it snows, then it is late. John is not running or it is late. If it rains, then it is late and if it is late, then it is raining. If it rains, then John is running. It is not late. If John goes running, then it is snowing. Can we infer the following from them? Answer yes or no: John is not running.",yes
"Consider the following premises: Thomas is writing a letter if and only if Sarah is running. If Thomas writes a letter, then John is a taxi driver. John is not a taxi driver or Sarah is running. Sarah is running. Can we infer the following from them? Answer yes or no: Thomas is writing a letter.",yes
"Consider the following premises: Jennifer is a politician or Robert is playing tennis. If William were an electrician, then it is cold. If it is cold, then it is windy. Robert is playing tennis if and only if it is windy. If it is windy, then it is cold. If Jennifer were a politician, then William is an electrician. Can we infer the following from them? Answer yes or no: It is windy.",yes
"Consider the following premises: If it is sunny, then it is cloudy. If it is cloudy, then it is sunny. If it is overcast, then it is sunny. If Michael were curious, then it is sunny. If it is cloudy, then Michael is curious. Can we infer the following from them? Answer yes or no: It is not overcast or it is cloudy.",yes
"Consider the following premises: If it snows, then it is cold. If Karen plays a game, then it is snowing. Elisabeth is sleeping if and only if it is overcast. If it is cold, then Karen is a sailor and if Karen were a sailor, then it is cold. If Karen were a sailor, then Elisabeth is sleeping. If it is overcast, then Karen is playing a game. Can we infer the following from them? Answer yes or no: If Karen were a sailor, then it is cold and if it is cold, then Karen is a sailor.",yes
"Consider the following premises: If it snows, then it is late. It is late if and only if David is sleeping. If it is not cloudy, then David is sleeping. The claim that David is sleeping and the claim that it is cloudy cannot both be true. Can we infer the following from them? Answer yes or no: If it snows, then it is not cloudy.",yes
"Consider the following premises: It is raining if and only if it is cold. If Joseph were a janitor, then it is cold. If it is cold, then Joseph is a janitor. If it rains, then it is cold. If it doesn't rain, then Joseph is a janitor. Can we infer the following from them? Answer yes or no: Joseph is a janitor.",yes
"Consider the following premises: If it is sunny, then it is cloudy. If Jennifer were a nurse, then it is cloudy. If Jennifer were a nurse, then it is sunny. It is cloudy if and only if Jennifer is a nurse. If it is sunny, then Jennifer is a nurse and if Jennifer were a nurse, then it is sunny. Can we infer the following from them? Answer yes or no: It is sunny.",no
"Consider the following premises: William is curious if and only if Thomas is an office clerk. If it is cloudy, then William is curious. Thomas is an office clerk if and only if Jessica is working. If William were curious, then it is cloudy. William is not curious or it is cloudy. Jessica is not working. Can we infer the following from them? Answer yes or no: It is not cloudy.",yes
"Consider the following premises: It is windy if and only if Barbara is bored. If Barbara were bored, then Jessica is playing squash. If Jessica plays squash, then it is windy. It is overcast if and only if Barbara is bored. Can we infer the following from them? Answer yes or no: Neither it is not windy nor it is overcast.",no
"Consider the following premises: William is a musician if and only if it is late. If it is late, then William is a musician. It is sunny if and only if it is late. William is a musician if and only if it is sunny. Can we infer the following from them? Answer yes or no: Neither it is not late nor William is a musician.",no
"Consider the following premises: It is late if and only if William is taking a plane. It is not cold. If Jessica were an astronaut, then it is cold. It is not late or Jessica is an astronaut. If William listens to a song, then William is taking a plane. It is cold if and only if William is listening to a song. Can we infer the following from them? Answer yes or no: It is not sunny.",no
"Consider the following premises: It is not cloudy or Susan is playing tennis. It is cloudy if and only if it is cold. It is cold if and only if Joseph is excited. Joseph is excited if and only if it is overcast. Susan is not playing tennis. If Joseph were excited, then it is cold. Can we infer the following from them? Answer yes or no: It is not overcast.",yes
"Consider the following premises: If David were a lawyer, then it is sunny. David is a lawyer if and only if Charles is a server. It is cloudy if and only if it is sunny. Charles is a server if and only if it is snowing. Can we infer the following from them? Answer yes or no: It is not snowing or it is cloudy.",yes
"Consider the following premises: If Jessica were fast, then John is an artist. If Thomas were rich, then it is cloudy. If John were an artist, then Jessica is fast. If Jessica were fast, then Thomas is rich. If it is cloudy, then Jessica is fast. Can we infer the following from them? Answer yes or no: It is not sunny.",no
"Consider the following premises: If it is not sunny, then Jennifer is drinking water. It is not raining. If Patricia were a poet, then it is sunny. Patricia is a poet if and only if it is raining. If it is sunny, then Patricia is a poet. Can we infer the following from them? Answer yes or no: Elisabeth is working.",no
