logic,rule_category,rule,problem,query,answer
propositional,equivalent,associative laws,inference,"Consider the following premises: It is sunny, or John is working or James is drinking water. Can we infer the following from them? Answer yes or no: It is sunny or John is working, or James is drinking water.",yes
propositional,equivalent,associative laws,inference,"Consider the following premises: It is cold, and Richard is a mechanic and Elisabeth is sad. Can we infer the following from them? Answer yes or no: It is cold and Richard is a mechanic, and Elisabeth is sad.",yes
propositional,equivalent,associative laws,inference,"Consider the following premises: It is snowing, or David is a doctor or Elisabeth is a soldier. Can we infer the following from them? Answer yes or no: It is snowing or David is a doctor, or Elisabeth is a soldier.",yes
propositional,equivalent,associative laws,inference,"Consider the following premises: John is making tea, and Richard is climbing a mountain and Susan is a server. Can we infer the following from them? Answer yes or no: John is making tea and Richard is climbing a mountain, and Susan is a server.",yes
propositional,equivalent,associative laws,inference,"Consider the following premises: Sarah is a police officer, or it is cold or Barbara is playing squash. Can we infer the following from them? Answer yes or no: Sarah is a police officer or it is cold, or Barbara is playing squash.",yes
propositional,equivalent,associative laws,inference,"Consider the following premises: Linda is driving a car, and Richard is excited and it is cloudy. Can we infer the following from them? Answer yes or no: Linda is driving a car and Richard is excited, and it is cloudy.",yes
propositional,equivalent,associative laws,inference,"Consider the following premises: Thomas is playing squash, or Richard is rich or Joseph is sleeping. Can we infer the following from them? Answer yes or no: Thomas is playing squash or Richard is rich, or Joseph is sleeping.",yes
propositional,equivalent,associative laws,inference,"Consider the following premises: James is a server, or Sarah is climbing a mountain or it is raining. Can we infer the following from them? Answer yes or no: James is a server or Sarah is climbing a mountain, or it is raining.",yes
propositional,equivalent,associative laws,inference,"Consider the following premises: Linda is making tea, and James is playing a game and Charles is cooking. Can we infer the following from them? Answer yes or no: Linda is making tea and James is playing a game, and Charles is cooking.",yes
propositional,equivalent,associative laws,inference,"Consider the following premises: Richard is a taxi driver, and Karen is a writer and Richard is a janitor. Can we infer the following from them? Answer yes or no: Richard is a taxi driver and Karen is a writer, and Richard is a janitor.",yes
propositional,equivalent,associative laws,inference,"Consider the following premises: Elisabeth is writing a letter, or Robert is climbing a mountain or it is sunny. Can we infer the following from them? Answer yes or no: Elisabeth is writing a letter or Robert is climbing a mountain, or it is sunny.",yes
propositional,equivalent,associative laws,inference,"Consider the following premises: William is climbing a mountain, or Richard is a mechanic or Jessica is a police officer. Can we infer the following from them? Answer yes or no: William is climbing a mountain or Richard is a mechanic, or Jessica is a police officer.",yes
propositional,equivalent,associative laws,inference,"Consider the following premises: David is cooking, or it is cold or Jennifer is running. Can we infer the following from them? Answer yes or no: David is cooking or it is cold, or Jennifer is running.",yes
propositional,equivalent,associative laws,inference,"Consider the following premises: Linda is driving a car, and it is sunny and Joseph is sleeping. Can we infer the following from them? Answer yes or no: Linda is driving a car and it is sunny, and Joseph is sleeping.",yes
propositional,equivalent,associative laws,inference,"Consider the following premises: James is making tea, and Thomas is bored and Elisabeth is working. Can we infer the following from them? Answer yes or no: James is making tea and Thomas is bored, and Elisabeth is working.",yes
propositional,equivalent,associative laws,inference,"Consider the following premises: Michael is sad, and it is cold and Mary is a server. Can we infer the following from them? Answer yes or no: Michael is sad and it is cold, and Mary is a server.",yes
propositional,equivalent,associative laws,inference,"Consider the following premises: Robert is climbing a mountain, and John is playing squash and James is drinking water. Can we infer the following from them? Answer yes or no: Robert is climbing a mountain and John is playing squash, and James is drinking water.",yes
propositional,equivalent,associative laws,inference,"Consider the following premises: Michael is working, and Jennifer is a musician and Thomas is reading a book. Can we infer the following from them? Answer yes or no: Michael is working and Jennifer is a musician, and Thomas is reading a book.",yes
